,address,legacy_escrow,c_ratio,collateral,debt
441,0xc61af4900d62d392D90f8a7Bd003aB159F89CE4F,3692.1400000000003,0.0,3692.1400000000003,0.0
442,0x526C7665C5dd9cD7102C6d42D407a0d9DC1e431d,0.0,0.0,0.0,0.0
443,0xc6104c7Edf93C5140e84893E5Da8927c24FeB771,663.1938851,0.0,663.1938851,0.0
444,0x7F737e340cED8928307e01Da3D7B452BEd60c2b4,230.457669,0.0,230.457669,0.0
445,0x381F19391dE8de22213C4Ebd1cc67520D43012e1,0.0,0.0,0.0,0.0
446,0xC6b3656ce53C863AfAeA5ab54d86d76706688c81,0.0,0.0,0.0,0.0
447,0xd895584a3204F4dF85de6e8Ad6789418158Ab8C5,0.0,0.0,0.000854,0.0
448,0x4468dca9fcE9F4C5b39851DE46AF225b7e24E11c,0.0,0.0,0.0,0.0
449,0xDFC9DeCB79c5a7820aE6cB2681C8Ff812069e465,0.0,0.0,0.0,0.0
450,0xF7a9004A2f3df14DA68CFb56B544210b7737Bd3f,274.8508755,0.0,274.8508755,0.0
451,0x5E05a889f2b4Dd85F8C17C10bf92747C6fEB5b33,0.0,0.0,251.82996798480877,0.0
452,0xb47d01f7315123ab96E2A40D3A3d4E2346994a20,0.0,0.0,0.0,0.0
453,0x893591d8c095DE513604b4fEbb3bb3Ec7f421ddd,0.0,0.0,0.0,0.0
454,0x0dbA48d0451907Ca700e764516139e02C7d53653,0.0,0.0,0.04952426960840577,0.0
455,0x3E882D3244F83FE650159b6cbB1F5D207154A66c,0.0,0.0,0.0,0.0
456,0xFD7456D727CE994b9BDb8785F1C92bc55BAbf1e1,0.0,0.0,0.0,0.0
457,0x00FF44691115EEfd20aBc3A44D57ba7072fF930d,0.0,0.0,0.0,0.0
458,0x680BA9E850944f78aD136A8c6368c53fB47f45Cf,0.0,0.0,0.0,0.0
459,0xe75e5868ae64Ea99ae1caEc16F6A55244Bf21e2B,0.0,0.0,0.0,0.0
460,0xfA6A94BB6aD03Fe22cD6920098aDCe3d463d33D3,0.0,0.0,0.0,0.0
461,0x2Afe4638F9132258F389B7aF833d915AfB86aBFf,0.0,0.0,0.0,0.0
462,0x79792c512D1029a640C86f20C9d30ef3643D4d38,0.0,0.0,0.0,0.0
463,0x3D00f53b93d13916209Bd4E884851F2928991a60,0.0,0.0,563.5749863489602,0.0
464,0x6507d08CDa616F2F253E6AAfD6509408Cb89818D,1598.8125,0.0,1598.8125,0.0
465,0xA6fa5438CE50208E0921C6ec592D3eB2BA60f15e,0.0,0.0,0.0,0.0
466,0xDD39d53557CDFa986ADd241223A73b1ae1D35766,0.0,0.0,0.0,0.0
467,0x1759D079Fa8f25D8b0B1296fBAef62C7d2fd901c,0.0,0.0,0.0,0.0
468,0x7029543b9Fd023B9F7a94bc4AF11c4Ed295dc07e,706.8761366,0.0,706.8761366,0.0
469,0x6a435d6D42A546CA8447655990E243f8a448B37f,0.0,0.0,1455.1080759,0.0
470,0xE8eA41F87Bbd365a3ec766e35ac4aC1d6A5E760a,0.0,0.0,0.0,0.0
471,0x73455dF7D5469302F4E58418A8dD13b0c6ad3bB3,583.1432062,1.934592459030465,624.7097992880988,691.935452558483
472,0x004537FCd9095489EbE38180a382341B962b501d,0.0,0.0,0.0,0.0
473,0xa1B5b2d4b0343ec719Ee6B11Ba2D3489f535110E,437.3146122,0.0,456.1926881,0.0
474,0x6EA7F12a0c1E99A6C8e53ca6525a77632ee7275a,228.2280089,0.0,931.7901115000001,0.0
475,0xbC69b868A4CF6FE2FC8deAaA6173ED50379a4AC0,0.0,0.0,0.0,0.0
476,0x6AFf961297eC2248839d6aDb5731f79b582FD5D9,0.0,0.0,0.0,0.0
477,0x5e3ab81831562f8c74eD59032C4fc890793687EA,416.62154733333335,0.0,416.62154733333335,0.0
478,0x1F51812bC52130203C5c5BF7003c2350e27236E8,0.0,0.0,0.0,0.0
479,0x16b8Cc5B1558b365D9844385425b13Bde0ceaa49,0.0,3.6213380988089687,158462.09177818624,93763.33930879903
480,0xc60EE1Bb3880B5C0805608dAbF84Ccd4021cAF89,1557.24,0.0,1557.24,0.0
481,0xfe592366b2fE07a1A7F3A8F4374Fade45a2f13ab,0.0,0.0,1751.612855345265,0.0
482,0x691Ce62a208B195acCF54C39a98F1112C90046d1,0.0,0.0,0.0,0.0
483,0x955E7c7cb04885d102437191dFF26dbFC9747FD1,0.0,0.0,0.0,0.0
484,0x7028C487a6dA4a784960730b044926275ED4d802,0.0,0.0,12.386005349894653,0.0
485,0x3b1E215FE1138aA9034b5E6De39892e45ac05176,0.0,2.0840100831281303,30408.557508980728,31266.03129975709
486,0xA731f0052E9221EFe4A7475D61071730f799aBC7,0.0,0.0,0.0,0.0
487,0x344215CA4219520166C7478c0Afb07c92e14B790,0.0,2.1628203419369036,11018.399772135248,10916.284233454688
488,0x005ee86190ee30575B0F834d3FbF22980D855b55,0.0,0.0,0.0,0.0
489,0xAC37a41B0cA2949413602B3336959fAE099c9F57,0.0,0.0,0.0,0.0
490,0x406000614CD5ec5Dc2281d53F0D11A6Cc1ED944C,0.0,0.0,0.0,0.0
491,0x7d660F50A62D43806b82e40fFFEaEfb60537cFF5,471.2663255,0.0,490.1444014,0.0
492,0x596b682CF5a534999D5Ad7A5a7Ac7B00C603Ee0B,1065.9,0.0,1065.9,0.0
493,0xf671284D1F3f4b3bd4BEc0959A23e7c5dB4A62C3,0.0,3.1845909155358405,326770.81613901333,219870.19729845008
494,0x758D10334Bc9b3e6F0d41B6E96e64a1663324d8B,0.0,0.0,0.0,0.0
495,0xFCEAce3b7ADB02Db38a4131B13c2CB954Ba205F6,0.0,0.0,0.0,0.0
496,0x87c2ABcea2fC817DF16566d145D15f038024789E,272.1749532,0.0,272.1749532,0.0
497,0x9515Bf2F910279CE3A54245B5Ea7C67A3a3D4C44,0.0,0.0,0.0,0.0
498,0x2E771628e765C04a06252801177332D078A19A21,0.0,2.214463182465718,858.9610416202626,831.1544947715109
499,0x99542C19e06dF5C1A26902BdE8f5AD8C625e3719,0.0,0.0,0.0,0.0
500,0xeC8D658f939e8C9A27b1EA7A1fA2d47314d0010B,0.0,0.0,0.0,0.0
501,0xCD13CB54661487725580a5C873848e6C24F781F2,4263.61,0.0,4282.4880759,0.0
502,0x05BF9b51204B73814F368dcf7f6De6Fe2860faF1,9327.7,0.0,9327.7,0.0
503,0xb0ca67F625630b7CfE20b6797d59b47e25441d8f,0.0,0.0,0.0,0.0
504,0x27596CaF4a5618586c6a0e8d34C184A8Fb58Aea7,426.2646605,0.0,426.2646605,0.0
505,0x164041C3020De5Debe825303FEFd68B70f23e2Fc,0.0,0.0,0.0,0.0
506,0xcdA16A18d3F942571E7ba81B7D2219A6802C45A1,0.0,0.0,0.8992818096328703,0.0
507,0x80450192c233A7E505774decC2c9f291ee794BC7,0.0,1.1342998521363878,14.719384093546184,27.805999962252972
508,0xa9BdADCE387700B18a3D5c2a668395bDAdc7b76B,0.0,0.0,9.7706493488638e-05,0.0
509,0x9b57d4db3f22B10123164236fC13BdFCcbC9181a,8291.86,0.0,8291.86,0.0
